premise_id,persona,persona_label,context,angle,text,product_tension,passed_deterministic_filter,filter_reason
P06-10,antimarketing,Anti-Marketing Critic,an airport gate with four delayed flights,calls out the absurd gap between ad fantasy and daily reality,"In an airport gate with four delayed flights, an ad crew promises unbranded white wired earbuds will erase social judgment, but the director keeps shouting the opposite.",social judgment / clear calls and simple audio without wireless anxiety,,
P06-11,antimarketing,Anti-Marketing Critic,a home office shared with a loud pet,rejects exaggerated technology language in favor of one boring benefit,"In a home office shared with a loud pet, an advertisement for unbranded white wired earbuds promises escape from noise, but the crew refuses to leave.",noise / clear calls and simple audio without wireless anxiety,,
P06-12,antimarketing,Anti-Marketing Critic,a home office shared with a loud pet,calls out the absurd gap between ad fantasy and daily reality,"In a home office shared with a loud pet, an ad crew promises unbranded white wired earbuds will erase dead wireless batteries, but the director keeps shouting the opposite.",dead wireless batteries / clear calls and simple audio without wireless anxiety,,
P06-13,antimarketing,Anti-Marketing Critic,a library that permits whispering only,rejects exaggerated technology language in favor of one boring benefit,"In a library that permits whispering only, an advertisement for unbranded white wired earbuds promises escape from lost earbuds, but the crew refuses to leave.",lost earbuds / clear calls and simple audio without wireless anxiety,,
P06-14,antimarketing,Anti-Marketing Critic,a library that permits whispering only,calls out the absurd gap between ad fantasy and daily reality,"In a library that permits whispering only, an ad crew promises unbranded white wired earbuds will erase awkward calls, but the director keeps shouting the opposite.",awkward calls / clear calls and simple audio without wireless anxiety,,
P06-15,antimarketing,Anti-Marketing Critic,a sidewalk construction zone,rejects exaggerated technology language in favor of one boring benefit,"In a sidewalk construction zone, an advertisement for unbranded white wired earbuds promises escape from social judgment, but the crew refuses to leave.",social judgment / clear calls and simple audio without wireless anxiety,,
P06-16,antimarketing,Anti-Marketing Critic,a sidewalk construction zone,calls out the absurd gap between ad fantasy and daily reality,"In a sidewalk construction zone, an ad crew promises unbranded white wired earbuds will erase noise, but the director keeps shouting the opposite.",noise / clear calls and simple audio without wireless anxiety,,
P06-17,antimarketing,Anti-Marketing Critic,a family video call with three people talking at once,rejects exaggerated technology language in favor of one boring benefit,"In a family video call with three people talking at once, an advertisement for unbranded white wired earbuds promises escape from dead wireless batteries, but the crew refuses to leave.",dead wireless batteries / clear calls and simple audio without wireless anxiety,,
P06-18,antimarketing,Anti-Marketing Critic,a family video call with three people talking at once,calls out the absurd gap between ad fantasy and daily reality,"In a family video call with three people talking at once, an ad crew promises unbranded white wired earbuds will erase lost earbuds, but the director keeps shouting the opposite.",lost earbuds / clear calls and simple audio without wireless anxiety,,
P06-19,antimarketing,Anti-Marketing Critic,a hotel lobby with suspiciously perfect furniture,rejects exaggerated technology language in favor of one boring benefit,"In a hotel lobby with suspiciously perfect furniture, an advertisement for unbranded white wired earbuds promises escape from awkward calls, but the crew refuses to leave.",awkward calls / clear calls and simple audio without wireless anxiety,,
P06-20,antimarketing,Anti-Marketing Critic,a hotel lobby with suspiciously perfect furniture,calls out the absurd gap between ad fantasy and daily reality,"In a hotel lobby with suspiciously perfect furniture, an ad crew promises unbranded white wired earbuds will erase social judgment, but the director keeps shouting the opposite.",social judgment / clear calls and simple audio without wireless anxiety,,
